round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,dropout,pool_size,activation,losses
4,0.017144705777006858,0.10196445281534579,0.01736208401968953,0.11134502931296476,64,4,0.5,2,relu,logcosh
4,0.03574262832276614,0.011225444368383838,0.034345326849911186,0.049824561431393986,256,256,0.5,2,sigmoid,logcosh
26,1.1062571885971608,0.6800748397386219,0.6123820583969192,0.8016374323277445,4,128,0.5,2,softmax,categorical_crossentropy
15,2.9314027731389616,0.10196445281534579,2.9052046761875263,0.11134502931296476,16,4,0.5,2,softmax,categorical_crossentropy
15,0.6139092920459643,0.8138447174047956,0.18328694385346334,0.9410526340293606,128,256,0.5,2,softmax,categorical_crossentropy
17,0.7197459871534875,0.8110383561384578,0.25332699792672514,0.9244444477279283,128,128,0.5,2,softmax,categorical_crossentropy
25,0.00667091404768356,0.7736202087549543,0.0029470668337024945,0.8938011724697916,128,256,0.5,2,sigmoid,logcosh
11,1.1620992554589116,0.6361085154861909,0.7499394008310684,0.7553216425821795,4,64,0.5,2,relu,categorical_crossentropy
15,2.9313223424417267,0.10196445281534579,2.9052058108368812,0.11134502931296476,128,4,0.5,2,sigmoid,categorical_crossentropy
10,0.01734096471174952,0.10196445281534579,0.017313391429900425,0.11134502931296476,64,64,0.0,2,sigmoid,logcosh
10,0.017094726941284312,0.12347988798252549,0.01710124239367275,0.12327485419156259,256,4,0.5,2,relu,logcosh
16,0.015975666530385717,0.26005612837866826,0.015190808630386899,0.2388304124450126,256,16,0.5,2,softmax,logcosh
15,2.9314226671509704,0.10196445281534579,2.9051990115851685,0.11134502931296476,64,4,0.5,2,softmax,categorical_crossentropy
10,0.01734006382573755,0.10196445281534579,0.01731329738048085,0.11134502931296476,128,4,0.0,2,softmax,logcosh
12,0.6368688395480692,0.8447146896339109,0.21893795596923346,0.9279532199714616,256,64,0.5,2,relu,categorical_crossentropy
16,0.009575335917278133,0.6304957946541155,0.004683556242952062,0.8292397692538145,4,256,0.5,2,relu,logcosh
10,0.017339818312031182,0.10196445281534579,0.017313308061824906,0.11134502931296476,64,16,0.5,2,softmax,logcosh
10,0.01733938068102686,0.10196445281534579,0.017313477915455722,0.11134502931296476,64,64,0.5,2,sigmoid,logcosh
10,0.017340465359062206,0.10196445281534579,0.01731323162366075,0.11134502931296476,64,16,0.5,2,sigmoid,logcosh
11,0.959531068748663,0.7839101997767797,0.027239594225819713,0.9920467840474948,128,256,0.0,2,relu,categorical_crossentropy
41,0.015079674416725237,0.3629560349029955,0.014072858833398576,0.33497076531251274,16,4,0.5,2,softmax,logcosh
31,0.011882156692762876,0.5257249794294055,0.006287302708320308,0.7609356766381459,4,256,0.5,2,softmax,logcosh
15,1.7809625877131916,0.46304958113673916,1.8119425848562118,0.3796491298236345,4,16,0.5,2,softmax,categorical_crossentropy
17,0.7183082134145241,0.7885874678616885,0.3012028903655269,0.9036257345425455,16,256,0.5,2,softmax,categorical_crossentropy
11,0.017344075231573313,0.10196445281534579,0.017312829773764166,0.11134502931296476,128,128,0.5,2,sigmoid,logcosh
15,0.6519839052949106,0.8484565045395335,0.11108354258085067,0.965380118743718,128,64,0.5,2,relu,categorical_crossentropy
24,1.2244906068913994,0.6623012192400958,0.44764922462618095,0.8577777815318247,4,256,0.5,2,sigmoid,categorical_crossentropy
11,0.01537091383876918,0.3741814797592565,0.013551201287473901,0.3709941556753471,4,64,0.5,2,softmax,logcosh
25,1.9736627843248387,0.3433115076416558,2.2965630506388623,0.20491228521915905,4,4,0.5,2,softmax,categorical_crossentropy
13,0.013141013843068006,0.4434050528299485,0.011414073895195389,0.5288888926045936,4,128,0.5,2,softmax,logcosh
13,2.928379124185546,0.10196445281534579,2.90707390489634,0.15532163893967343,128,128,0.5,2,sigmoid,categorical_crossentropy
26,0.01236968897922205,0.4705332099722299,0.010338777778887304,0.5221052636877138,128,4,0.0,2,relu,logcosh
10,0.017340027477149654,0.10196445281534579,0.017313330437530552,0.11134502931296476,128,16,0.0,2,sigmoid,logcosh
20,0.008757077320599044,0.6856875612258465,0.0011337593000983024,0.9700584801142675,64,64,0.0,2,softmax,logcosh
10,0.017340161613736676,0.10196445281534579,0.017313304384462318,0.11134502931296476,128,4,0.5,2,sigmoid,logcosh
20,0.6828359431319998,0.8157156249342732,0.3896361110800209,0.8755555604807814,16,64,0.5,2,softmax,categorical_crossentropy
19,0.004533001350689526,0.8503274113720438,0.001253124802704278,0.9543859669862435,256,128,0.5,2,relu,logcosh
9,0.017337896449054035,0.10196445281534579,0.017314508570390835,0.11134502931296476,256,16,0.5,2,sigmoid,logcosh
10,0.0065403735165663335,0.7717493018248686,0.0016189340684743536,0.9440935693463387,128,256,0.5,2,relu,logcosh
4,0.03246252742541666,0.10196445281534579,0.03190975495840565,0.11017543866968992,128,256,0.0,2,sigmoid,logcosh
10,0.017339587241229998,0.10196445281534579,0.01731336092173356,0.11134502931296476,64,16,0.5,2,sigmoid,logcosh
15,2.931363500536213,0.10196445281534579,2.905198067112973,0.11134502931296476,128,16,0.0,2,softmax,categorical_crossentropy
13,0.01412584397604394,0.4293732474043171,0.014388447311719737,0.32163743178049725,16,4,0.5,2,relu,logcosh
14,1.084186729916136,0.6913002831312515,1.039221300079272,0.6327485477018078,256,16,0.5,2,relu,categorical_crossentropy
10,0.017341911193363237,0.10196445281534579,0.01731329765279739,0.11134502931296476,128,128,0.0,2,softmax,logcosh
13,0.7332127036491161,0.7895229217658208,0.8089214839958793,0.7069005941786961,64,16,0.5,2,relu,categorical_crossentropy
14,2.9303489117225383,0.10196445281534579,2.906121748093276,0.14619883128076966,128,256,0.5,2,sigmoid,categorical_crossentropy
34,0.007212369888674319,0.7333957003142033,0.004109681340691954,0.8575438621274212,4,16,0.0,2,sigmoid,logcosh
